id,date,species,sex,wing,mass
uO4f7DCql8-k0W22Jp,2012-06-11,Carolina Chickadee,F,56,9
u96VapL51A-ex0N69i,2012-06-16,Gray Catbird,F,91,36.3
dq1RCQx5Td-ex0N69i,2012-06-16,Song Sparrow,M,68,21.2
rO8ZLd7f8U-k0W22Jp,2012-06-11,Carolina Wren,F,60,20.2
i2dS3lVvW5-s5Q2l83,2012-06-28,Gray Catbird,M,90,35.2
xKA0Q9kgPO-bceZ7i6,2012-07-03,Gray Catbird,M,90,32.8
fKy07doN6I-k0W22Jp,2012-06-11,Carolina Wren,F,57,22
e3uvg0nFqT-ex0N69i,2012-06-16,American Robin,M,130,71.2
n4X2UxQD5P-ex0N69i,2012-06-16,Gray Catbird,F,88,36.7
rPf3z5m61O-k0W22Jp,2012-06-11,Carolina Chickadee,F,58,8.9
d6sYfFeK20-ex0N69i,2012-06-16,Song Sparrow,F,62,20
t7OBv1MCz6-ex0N69i,2012-06-16,Gray Catbird,M,87,31.7
tVhQ7X5c9x-bceZ7i6,2012-07-03,Northern Cardinal,M,94,43.4
w2Yk9iGf88-iqPHser,2012-06-18,House Wren,M,50,10.1
gOf0S7mtNn-lxpmFaU,2012-07-06,Gray Catbird,M,93,37.2
k6y64OiL0q-s5Q2l83,2012-06-28,House Wren,M,50,10.7
y3tLX0o2Ni-iqPHser,2012-06-18,Carolina Wren,M,61,20
g4ohGlcyBt-s5Q2l83,2012-06-28,Carolina Wren,F,55,19.1
l6g58bw7z0-r1FY2T4,2012-06-29,Northern Cardinal,M,92,41.9
d5WelOh2jY-r1FY2T4,2012-06-29,American Robin,M,128,81.6
pmV8zUn2tE-bceZ7i6,2012-07-03,Gray Catbird,F,85,38.8
h2rbC134Na-lxpmFaU,2012-07-06,Gray Catbird,F,86,31.6
w10i8T890G-oM5OZo6,2012-06-26,House Wren,M,48,10.4
j7j403nR11-oM5OZo6,2012-06-26,Carolina Wren,M,59,19.7
vzh90JqVls-bceZ7i6,2012-07-03,Carolina Wren,F,60,21.1
c46a378PfL-iqPHser,2012-06-18,Carolina Chickadee,F,62,10.5
deR5bWHEJD-s5Q2l83,2012-06-28,House Wren,M,49,10.2
zz3mRO85BJ-oM5OZo6,2012-06-26,Song Sparrow,M,65,19.2
iCPEjtKOwx-s5Q2l83,2012-06-28,Gray Catbird,F,90,36.6
hbcV657ky3-s5Q2l83,2012-06-28,Northern Cardinal,F,86,41.3
kv3X0DIqAo-r1FY2T4,2012-06-29,Carolina Wren,M,58,18.2
z86r2853aF-iqPHser,2012-06-18,House Wren,M,53,10.4
k3Jmvb6MKU-s5Q2l83,2012-06-28,Carolina Chickadee,M,60.5,9.5
w9sF58Uuv0-s5Q2l83,2012-06-28,Carolina Wren,M,59,20.4
fqnvB9259a-b5LC2WX,2012-07-11,Gray Catbird,M,86,35.5
