id,date,species,sex,wing,mass
fHE7rSsMC4-unU3Rj0,2016-06-24,Song Sparrow,M,65,21.1
e71jG3O0tD-lY81r0A,2016-06-22,Gray Catbird,F,86,39.5
yu34T5j2s8-fyT3699,2016-06-27,Gray Catbird,M,89,35.9
tux16BGEmj-lY81r0A,2016-06-22,Gray Catbird,F,86,39.4
jMSZ2Id5lO-k8jrIGQ,2016-06-22,Carolina Chickadee,F,61,10
vpk6JNRcb6-hb2n87t,2016-06-25,Carolina Chickadee,F,60,9.1
s78gy0nF50-b9I2xm8,2016-06-17,House Wren,M,51,10.7
wpe8bjIW43-cdqnTEx,2016-06-16,Gray Catbird,F,90,38
q6dhoujEs9-i0mlCtD,2016-06-21,Carolina Wren,F,58,18
ai3875uLr2-k8jrIGQ,2016-06-22,Northern Cardinal,M,95,42
empP4YQ3xB-lY81r0A,2016-06-22,House Wren,F,47,11.5
xD2W8B7nZ1-yBF4Vja,2016-06-25,Song Sparrow,M,63,20.2
l6Pz06wf1Y-fyT3699,2016-06-27,Gray Catbird,M,83,33.5
xd76D624H3-fyT3699,2016-06-27,Carolina Chickadee,F,60,9.3
g123nTuQv2-fyT3699,2016-06-27,Gray Catbird,M,91,29.7
p7XP54k6Mt-i0mlCtD,2016-06-21,Northern Cardinal,M,95,43.6
oY5p9836bi-lY81r0A,2016-06-22,Gray Catbird,M,89,34.4
gu6xkb3de7-lY81r0A,2016-06-22,Gray Catbird,M,89,33.7
y8teYg910r-o1Z1jm2,2016-06-20,Gray Catbird,M,88,37.4
rK1I6RfiFr-bbm615D,2016-06-21,Gray Catbird,M,90,34.7
m09M5D3p5n-i0mlCtD,2016-06-21,Northern Cardinal,F,87,43.9
y1SIo1FPyr-yBF4Vja,2016-06-25,Northern Cardinal,F,90,38.3
zt24cpGZEl-fyT3699,2016-06-27,Gray Catbird,M,98,33.3
xpB1eOd74C-i0mlCtD,2016-06-21,House Wren,M,48,10.1
ukl5d62348-fyT3699,2016-06-27,Gray Catbird,F,88,38.3
eNhI0jetAl-lY81r0A,2016-06-22,Gray Catbird,M,84,35.4
aM52ImO06x-bbm615D,2016-06-21,Gray Catbird,F,86,32.6
izY6GNyOrv-yBF4Vja,2016-06-25,Carolina Chickadee,F,63,10.5
ime3f116L7-qOVY1B7,2016-06-29,American Robin,M,129,63.8
vreJyiK0L0-zIZ16eD,2016-07-02,Northern Cardinal,F,90,41.7
l4wLht7u9o-lL0X7Er,2016-06-30,Carolina Wren,F,56,16.7
zpWU1sQv3m-qOVY1B7,2016-06-29,Northern Cardinal,M,92,42.8
n07is609nP-unU3Rj0,2016-06-24,Song Sparrow,M,65,22.1
c5BpIk2c3J-by1kcoU,2016-07-02,Carolina Wren,F,60,20.9
omuW3kpDe5-lL0X7Er,2016-06-30,House Wren,F,49,11.9
e30RiVdwJt-fyT3699,2016-06-27,Gray Catbird,M,85,33.9
bqI5625fX7-qOVY1B7,2016-06-29,Carolina Wren,F,57,22
b9bEV4107n-lL0X7Er,2016-06-30,House Wren,M,50.5,10.7
jmtWTI5x08-by1kcoU,2016-07-02,House Wren,F,49,10.4
wzKpstJ48h-zIZ16eD,2016-07-02,Gray Catbird,M,88,33.1
t0Dj6k2og3-by1kcoU,2016-07-02,Gray Catbird,F,86,35.4
aE1rGD9aI4-by1kcoU,2016-07-02,House Wren,F,49,10.5
y2oF9483d6-by1kcoU,2016-07-02,Gray Catbird,F,82,34.6
vt20g97R6f-by1kcoU,2016-07-02,Gray Catbird,F,87,33.8
oLdQX2abVz-cbq0klV,2016-07-05,Gray Catbird,F,88,41.8
veGFb134mn-xcBCY42,2016-07-01,Carolina Wren,M,60,22.9
m9oM4m5tdP-zIZ16eD,2016-07-02,Song Sparrow,M,67,20.9
cS5M8Wpqju-zIZ16eD,2016-07-02,House Wren,F,48,9.7
hMC2044p6n-zIZ16eD,2016-07-02,Gray Catbird,M,88,37.5
zfot0079R8-cbq0klV,2016-07-05,House Wren,F,51,11.3
l9336nwE2s-by1kcoU,2016-07-02,Song Sparrow,M,65,20.8
vsL7PNxv57-cbq0klV,2016-07-05,House Wren,M,52,10.8
pPVvi8tc01-cbq0klV,2016-07-05,Gray Catbird,M,90,35.4
a7Yo62tN33-uauSUcL,2016-07-05,Gray Catbird,F,84,23.8
f0lP91yS7d-by1kcoU,2016-07-02,Gray Catbird,F,91.5,38
znMXT4m1Vp-nFjbEMw,2016-07-06,Northern Cardinal,M,93,42.2
uM2Q0Cx3N1-nFjbEMw,2016-07-06,Carolina Wren,F,59,20
g0d89iPqKe-uauSUcL,2016-07-05,Song Sparrow,M,84,23.8
g2fX9rl953-zIZ16eD,2016-07-02,House Wren,M,51,10.3
l8J5b492to-cD25Y5h,2016-07-07,American Robin,M,130,70.5
im08Ss2ul0-dMyisJK,2016-07-07,Song Sparrow,M,65,12.2
q4O47873x5-cD25Y5h,2016-07-07,Carolina Wren,F,63,20
lrX3YlbzUS-dMyisJK,2016-07-07,Gray Catbird,M,86,21.7
hq9lN037xI-dMyisJK,2016-07-07,House Wren,M,49.5,7.1
miB3cFds6Y-dMyisJK,2016-07-07,Carolina Wren,F,59,11.6
on7A27D5Jg-dMyisJK,2016-07-07,Northern Cardinal,M,94.5,27.2
ipl97F173R-cD25Y5h,2016-07-07,House Wren,M,47,9.2
oyK2ioV1SQ-l4yqk8f,2016-07-10,House Wren,M,48.5,10.4
mOmMUwGo23-cD25Y5h,2016-07-07,Northern Cardinal,M,89,44
ukxv3Kinjr-dMyisJK,2016-07-07,House Wren,F,47,7.5
rkdI76r8gu-h70c6O9,2016-07-09,House Wren,M,50,10.5
aoLWU249Fr-x407B1t,2016-07-11,House Wren,F,48,11.9
mBj5lPFs7o-l4yqk8f,2016-07-10,Song Sparrow,F,62,19.9
yxB9n2v62d-y9k43oO,2016-07-09,Gray Catbird,M,89,34.4
c0z54AU62X-h70c6O9,2016-07-09,Carolina Wren,F,61,21.3
p1Dt1Spg2L-i2IO04n,2016-07-11,Gray Catbird,F,88,37.2
fOXH9K4q3l-y9k43oO,2016-07-09,American Robin,M,126,68.3
rSF0o1Nu75-y9k43oO,2016-07-09,House Wren,M,49,11.5
y7r58DwAzK-i2IO04n,2016-07-11,House Wren,M,49,10.6
xB5Z21f6jg-l4yqk8f,2016-07-10,Gray Catbird,F,89,35.7
z02valGDrf-rIcq240,2016-07-13,Gray Catbird,M,95,36.7
g2kIdH6eMT-tEZ166A,2016-07-14,House Wren,M,51,11.6
mbwNDY3y7A-l4yqk8f,2016-07-10,Gray Catbird,M,90.5,38.7
mNo5t56xCh-rIcq240,2016-07-13,Northern Cardinal,M,93,42.8
e2C7n7oA9u-l4yqk8f,2016-07-10,Gray Catbird,M,89,30.9
b33xWZ8N49-gJxeOBT,2016-07-12,Gray Catbird,F,87,33.9
zeyLh57Y3l-gJxeOBT,2016-07-12,American Robin,F,125,75.2
f3vCr76lGQ-x407B1t,2016-07-11,House Wren,M,49,10.7
c2hUOQ8L0g-i2IO04n,2016-07-11,Gray Catbird,M,89,34.9
q4mAP5KXB2-gJxeOBT,2016-07-12,Northern Cardinal,M,94,42.2
xpkWXa3317-rIcq240,2016-07-13,American Robin,M,125,66.6
b1SR2UX9ZN-rIcq240,2016-07-13,Northern Cardinal,F,93,41.3
bmvqRK5ofO-x407B1t,2016-07-11,House Wren,F,46,10.9
vKJLOcti68-tMP3ayU,2016-07-15,Song Sparrow,F,61,20.8
bbGPV0xRvQ-rIcq240,2016-07-13,Song Sparrow,M,68,22.2
e42P205WF3-x407B1t,2016-07-11,Carolina Wren,F,60,19
hBe5y83kY6-q52vQY3,2016-07-18,Northern Cardinal,F,91,40.5
coGdxye2q4-f5MzCLF,2016-07-23,Song Sparrow,F,55,22.1
ve7MmS7ZsT-nku336w,2016-07-19,Carolina Wren,F,58,20.7
utSNI0m4Eu-m06iE4O,2016-07-21,Song Sparrow,M,63,20.8
m39h0nDxd4-tMP3ayU,2016-07-15,Gray Catbird,F,88,32.7
v2JpFjzg3H-tMP3ayU,2016-07-15,House Wren,M,49,10.3
e3t2N9a7oA-nku336w,2016-07-19,Song Sparrow,M,61,21.4
iTR2sfUpq1-tMP3ayU,2016-07-15,Northern Cardinal,F,93,46.2
cHxEayLn8v-sg86DsO,2016-07-20,American Robin,M,125,65.8
s5vAqctOG9-m06iE4O,2016-07-21,Northern Cardinal,M,92,44.7
i1J3TzdkV6-f5MzCLF,2016-07-23,American Robin,F,125,70.3
mWoz2lmGe1-sg86DsO,2016-07-20,Carolina Wren,F,62,20.2
k2lLv8Vk0I-q52vQY3,2016-07-18,Song Sparrow,M,64,20.1
djdm316qxU-q52vQY3,2016-07-18,Northern Cardinal,M,92,38.3
x3b15vq9D6-f5MzCLF,2016-07-23,Northern Cardinal,F,86,39.8
eEy2W612xD-q52vQY3,2016-07-18,House Wren,M,48,11.1
i1H7s8i4YL-sMPYgJm,2016-07-26,Song Sparrow,F,59,16.8
qKESs8X217-sMPYgJm,2016-07-26,Song Sparrow,M,62,18.5
rZCg05RK16-nbinfu7,2017-04-21,Song Sparrow,F,59,22.9
k8FyfR6Nxd-zDun5Gp,2017-05-04,Carolina Chickadee,M,65,10.2
k22VW61ic7-nbinfu7,2017-04-21,Song Sparrow,M,67.5,20.7
ptw8ox6BQ5-s2Z5H47,2017-03-13,Song Sparrow,M,64,18.3
sWIOdY72Lz-oozCI6Z,2017-05-03,Northern Cardinal,M,98,38.9
qcBk2R1233-v5t4zPh,2017-05-09,House Wren,M,52,11.1
s24LCUXZYG-s2Z5H47,2017-03-13,Carolina Chickadee,M,56,8
r9sluEVN9k-oozCI6Z,2017-05-03,American Robin,M,120,82.9
zew0lVd5bf-v5t4zPh,2017-05-09,Song Sparrow,M,65,20.3
fxf7Ca6NQV-zDun5Gp,2017-05-04,Carolina Chickadee,M,66,10.2
nOP971thEQ-v5t4zPh,2017-05-09,House Wren,F,49,13.1
cIL5Vl8t55-v5t4zPh,2017-05-09,Song Sparrow,M,63,20.6
axNB0d7gG9-cHc8e1A,2017-05-13,American Robin,F,121.5,83.3
jW5OJ64YIN-zDun5Gp,2017-05-04,Carolina Chickadee,M,63,9.7
q10Y5CZlcX-c6F96QG,2017-04-28,Song Sparrow,M,69,21.4
u4vTdp2y3j-av0R9Q2,2017-05-24,House Wren,M,49,10.9
sK3hzg9LZR-ap8egNn,2017-05-26,American Robin,M,125,71.2
hOi7S61CTK-h46Cr72,2017-05-21,House Wren,F,49,9.1
gTHx629cy0-fI31jse,2017-05-27,Gray Catbird,F,86,37.9
h0DgwtY9Vm-k8B4j03,2017-05-26,American Robin,F,121,77.7
es9Gn8iS4K-h46Cr72,2017-05-21,House Wren,M,51,7.4
o1246qhZa6-k8B4j03,2017-05-26,Gray Catbird,F,88,39
skjfT5sDG6-pnEAXm8,2017-05-20,American Robin,F,123.5,84
ujnS50E068-h46Cr72,2017-05-21,Song Sparrow,M,65,18.9
e63f0aCkPY-k8B4j03,2017-05-26,Song Sparrow,M,65.5,19.3
iBS89dbpjK-fI31jse,2017-05-27,Song Sparrow,M,67.5,20.9
fWDKOG81Ux-k8B4j03,2017-05-26,American Robin,M,129.5,72.5
h5z6qMl07S-k8B4j03,2017-05-26,Song Sparrow,F,62,19.1
f5Ep6lzic0-zc53328,2017-06-06,House Wren,M,51.5,9.7
scvkxF2DpI-l7rH7s9,2017-05-30,Carolina Chickadee,F,59.5,9
zGa8V2IL81-e1sQtL5,2017-06-06,House Wren,M,49.5,11
vJFe4MAhpP-zc53328,2017-06-06,House Wren,F,50,7.9
x5k4tiYyo8-rls5kg1,2017-06-07,House Wren,M,49.5,9.3
mbF4xZ0PC9-o5V8F1E,2017-06-08,Song Sparrow,M,64.5,17
em1JC3US8D-o5V8F1E,2017-06-08,House Wren,F,52,10.9
k36Di9K9Wg-rls5kg1,2017-06-07,House Wren,F,50,11.1
vFXhBQP3Wd-aJic0t3,2017-05-31,Carolina Chickadee,F,61.5,9.5
j1HDUwvg9Z-e1sQtL5,2017-06-06,American Robin,F,125.5,79.2
h8U6iGo302-cviD91c,2017-06-02,Song Sparrow,M,63,19.3
yK9mA073GX-l7rH7s9,2017-05-30,Song Sparrow,M,77,20.6
idQ0I13AZp-zc53328,2017-06-06,Carolina Wren,F,59,19.9
y848aDXM9S-l7rH7s9,2017-05-30,House Wren,F,51,13.8
nEI6ah5B8W-o5V8F1E,2017-06-08,Northern Cardinal,F,89,41
v23709IcHO-o5V8F1E,2017-06-08,Song Sparrow,M,63.5,20
g91KSQ81Fu-cviD91c,2017-06-02,Carolina Wren,F,57,20.1
xHLNqao6S9-rls5kg1,2017-06-07,House Wren,M,48.5,10.7
x34HGeZ9O6-zc53328,2017-06-06,House Wren,M,47,9.3
tyoHu8dFt7-rls5kg1,2017-06-07,House Wren,F,47,11.7
gb1qEol19P-aJic0t3,2017-05-31,American Robin,M,127,66.8
ih7TcFA1Ea-l7rH7s9,2017-05-30,House Wren,M,47,9.3
iIocBX2LrN-o5V8F1E,2017-06-08,House Wren,M,48,8.5
h5tN3i66s2-e1sQtL5,2017-06-06,American Robin,M,126,76.3
w26ozuOLxe-o5V8F1E,2017-06-08,Northern Cardinal,F,94,41
t202awG9xF-yig6Dt0,2017-06-08,Carolina Wren,M,59.5,22.7
hVYE95NOjM-rm5q4lg,2017-06-09,Gray Catbird,M,93,33.8
zj2FDGHRUE-sP8hivC,2017-06-10,Gray Catbird,F,94.5,44.8
e016pg4JhA-qQKh6az,2017-06-12,Northern Cardinal,M,96,42.3
xFYXy3c8l7-o5V8F1E,2017-06-08,Northern Cardinal,F,90,36.7
a2HoZnTqbi-qQKh6az,2017-06-12,Northern Cardinal,M,94.5,43.7
hny1RgkEN4-z07pEdA,2017-06-12,House Wren,M,39,9.8
xjLp1d06D5-yig6Dt0,2017-06-08,House Wren,M,51,10.2
duO6W81nyT-m2ENmPC,2017-06-13,Gray Catbird,M,88,33.4
gpc5jqYm97-yig6Dt0,2017-06-08,Gray Catbird,M,91.5,35.7
b1ElLtM3GY-zc53328,2017-06-06,Northern Cardinal,M,92,40.1
n083YhUL3e-rm5q4lg,2017-06-09,Gray Catbird,F,88,34
yL4024H97K-rm5q4lg,2017-06-09,American Robin,F,121.5,85.4
tG8N1OH9ps-qQKh6az,2017-06-12,Northern Cardinal,F,91.5,42.8
qihv132Mn4-rm5q4lg,2017-06-09,Gray Catbird,M,91.5,35
oi6oz1XrxK-rm5q4lg,2017-06-09,Song Sparrow,M,64,20.3
atoZE1wn4v-e1sQtL5,2017-06-06,Song Sparrow,M,64.5,18.8
p851nKNUl1-qQKh6az,2017-06-12,Northern Cardinal,M,93,43
m5or23Uz10-rm5q4lg,2017-06-09,Gray Catbird,F,86,32.5
rth4X5g06O-k13pIWc,2017-06-20,House Wren,F,49,11
t09eiAH4Kp-e1jbON3,2017-06-15,Gray Catbird,F,89,36.8
t9D5NW62qV-v4lIGef,2017-06-15,Song Sparrow,M,64,20.1
j0Hk3c95b6-e1jbON3,2017-06-15,Song Sparrow,M,63,18.7
j9p6Rwj4yG-eKVtvxG,2017-06-19,House Wren,F,50,9.8
nG5E9oiK03-k13pIWc,2017-06-20,Northern Cardinal,F,91,43
z784MrW3Of-v4lIGef,2017-06-15,Carolina Wren,M,59.5,20.8
wnseh8w4v6-eKVtvxG,2017-06-19,Song Sparrow,F,62.5,20.3
p815g4G40c-e1jbON3,2017-06-15,Gray Catbird,M,88,33.4
s9zW2NjvEC-eKVtvxG,2017-06-19,Song Sparrow,M,67,21.4
kfuxZFw0ep-k13pIWc,2017-06-20,Northern Cardinal,F,91,44
rAB6N7rb0w-e1jbON3,2017-06-15,Carolina Wren,F,59,19
aH61O26eFE-v4lIGef,2017-06-15,Song Sparrow,M,66,21.2
g8h11q6A8Y-pu9QM38,2017-06-20,Gray Catbird,M,88,35.1
wF9Oro3J5T-v4lIGef,2017-06-15,Gray Catbird,M,91.5,36
aPGOm73846-v4lIGef,2017-06-15,House Wren,M,52,10.5
ih9obKH7zn-v4lIGef,2017-06-15,Gray Catbird,M,91.5,36.6
azKu47AXBp-v4lIGef,2017-06-15,Gray Catbird,F,85.5,43.9
q4E8Hn6UM1-pp7nsQ7,2017-06-14,Carolina Chickadee,F,58,9.6
zh32B8r046-eqC8bnZ,2017-06-22,Carolina Chickadee,F,58.5,8.8
dXRk57jn98-k13pIWc,2017-06-20,House Wren,M,46,9
plagdBj5Rw-eqC8bnZ,2017-06-22,Gray Catbird,M,91,33.4
q2v3zD6tX8-ebODNwr,2017-06-24,Song Sparrow,M,63.5,20.3
lTJbjN4fQB-eqC8bnZ,2017-06-22,Northern Cardinal,F,91.5,48
zK0BA10Vp8-aZ387Xa,2017-06-27,Northern Cardinal,M,95,43
ic3fbk7yHv-aZ387Xa,2017-06-27,Gray Catbird,M,90,35
p34k4770tI-b5ErZDl,2017-06-26,Northern Cardinal,M,91.5,46.8
p143Cu16pb-gF7qVC9,2017-06-28,Gray Catbird,F,86.5,33.2
ps7vA08h87-eqC8bnZ,2017-06-22,Gray Catbird,M,92,30.5
qdhkwZyPc9-eqC8bnZ,2017-06-22,Gray Catbird,F,89,39.2
xAfUa967x1-eqC8bnZ,2017-06-22,House Wren,F,47,12.5
zD0eWX2fld-gF7qVC9,2017-06-28,Gray Catbird,M,90,33.7
jIxMkn3B0m-ebODNwr,2017-06-24,Song Sparrow,M,65,18.7
s2i0q89K1L-gF7qVC9,2017-06-28,House Wren,M,51.5,9.9
i6mqRwbZ07-rqS2snc,2017-07-06,Gray Catbird,F,90,41.8
x26tp39h40-rqS2snc,2017-07-06,Gray Catbird,F,82.5,39
uTW983UL1g-g2W2u40,2017-07-05,American Robin,F,120,76
usK2oLjgfR-rqS2snc,2017-07-06,Gray Catbird,M,90,35.8
a79c2Nd00l-gF7qVC9,2017-06-28,Northern Cardinal,F,87,37.1
p9lzTO1tkP-ce6E6q8,2017-07-08,Gray Catbird,F,86,34.2
y6g1B2254J-gF7qVC9,2017-06-28,Carolina Wren,F,54,21.5
ehpX087dg2-ebODNwr,2017-06-24,American Robin,M,122.5,76
kXasx0bnSc-tLy7FR1,2017-07-01,Gray Catbird,M,93,35
u3vx6w0OLR-mk6bUH5,2017-06-30,Carolina Chickadee,F,61,9
pcp4Ou73kC-rqS2snc,2017-07-06,Gray Catbird,M,88.5,33.3
nwfY75cxTZ-t2N63Sy,2017-07-05,House Wren,F,48.5,11.7
j19XkDo52q-aRij35k,2017-07-07,House Wren,F,56.5,11.5
aCq51Ht638-rqS2snc,2017-07-06,Gray Catbird,M,88,34.2
w88XdD6tr1-aRij35k,2017-07-07,Gray Catbird,F,85,37.9
k6M8bo54Eg-aRij35k,2017-07-07,Northern Cardinal,M,94,40.1
mw7VRgpJsa-rqS2snc,2017-07-06,Northern Cardinal,M,93,37.5
dD43M9Kg8x-dTYH46d,2017-07-11,Carolina Chickadee,F,61,8.8
fW1voQlI67-ce6E6q8,2017-07-08,Song Sparrow,M,62,21
o3a0h2CgYH-wk5BAbi,2017-07-12,Gray Catbird,F,90.5,40
hkN1c5126W-aRij35k,2017-07-07,Northern Cardinal,M,88,40.8
a8jWD0Vwyq-h7NjqO5,2017-07-14,Gray Catbird,F,88,37.2
z951lk5ZYF-rqS2snc,2017-07-06,Gray Catbird,M,89,34.2
t28xcrT1sI-h7NjqO5,2017-07-14,Gray Catbird,F,90.5,34.2
nJ800441K7-t2N63Sy,2017-07-05,House Wren,M,52,11.8
t43IATPq8L-fRN7uIM,2017-07-10,Carolina Wren,M,66.5,20
e84M8D3OvR-fRN7uIM,2017-07-10,Northern Cardinal,M,94,45
nBWQbgvtD8-h7NjqO5,2017-07-14,Gray Catbird,M,90.5,35.7
q8KN2t7Ldj-dTYH46d,2017-07-11,Song Sparrow,M,64.5,20.3
kKmBv7ypdc-dTYH46d,2017-07-11,Northern Cardinal,F,88,40.5
yxZ61S8FAe-e3VI6tH,2017-07-19,Carolina Wren,F,59,20
yu2Pr4kINm-e3VI6tH,2017-07-19,Song Sparrow,M,65,20
fO06311qN0-c8PMHr9,2017-07-25,Carolina Wren,F,56,17
cv500903yf-gI5nT1u,2018-05-01,Northern Cardinal,M,99,43.6
sk7bEdlKM6-snR503H,2018-05-07,Carolina Chickadee,M,63,10
a1OeI2Qnrx-zgXCAqt,2018-05-09,House Wren,M,50,11.6
e4VIh6Z52R-pPu2I4a,2018-05-02,Carolina Chickadee,F,56,10.1
an4M7b0985-snR503H,2018-05-07,Carolina Chickadee,F,57,9.4
tUC74px5OZ-gI5nT1u,2018-05-01,Gray Catbird,M,87,36.2
i3u7h496gZ-tF4a56z,2018-04-30,Carolina Chickadee,F,61,10
bDR08o6CSv-a1nrhSe,2018-05-08,Northern Cardinal,M,96,44.5
xBXW2976mD-zgXCAqt,2018-05-09,Northern Cardinal,M,89,44.8
rsL47RP5C7-oYzLNIl,2018-05-04,Gray Catbird,M,85,33
wiIMvq16u2-zgXCAqt,2018-05-09,Northern Cardinal,M,88,40.4
l08GEnxk70-oYzLNIl,2018-05-04,Song Sparrow,M,64,20
yzPDN586H6-gI5nT1u,2018-05-01,American Robin,F,120,73.9
bpn7V0kNeS-ahYO0eb,2018-05-03,House Wren,M,50,10.2
p1Z658F6cC-oYzLNIl,2018-05-04,Northern Cardinal,F,91,45.2
vPdp5Xbhwo-l7iT5mz,2018-06-13,American Robin,M,129,67.1
rtp0XOlBR6-z2qu219,2018-06-02,House Wren,M,50,10.7
rfb358BLw2-eM4iu2V,2018-05-29,Gray Catbird,M,89,39.4
a9Vo4zK0Ys-k2OgFmo,2018-06-05,Northern Cardinal,M,91,43.9
glS8D39p9H-eM4iu2V,2018-05-29,Song Sparrow,M,65,22.3
kIboA6l87z-z2qu219,2018-06-02,House Wren,F,46,10.7
eZlu96OqWJ-k2OgFmo,2018-06-05,American Robin,F,128,76.6
yN6U3c49e1-p2Ts0L3,2018-06-06,Song Sparrow,M,66,19.3
iY98lrQv4L-eM4iu2V,2018-05-29,American Robin,F,130,82.4
xRS42LCMsN-al5UY0q,2018-06-07,Gray Catbird,M,91,37.4
qOw1u5QpPA-p2Ts0L3,2018-06-06,Northern Cardinal,F,89,39.4
v2sI9uyJUY-k2OgFmo,2018-06-05,American Robin,F,126,77.2
hSF8erOR8s-z87hB72,2018-06-09,American Robin,F,125,82.4
t3t76oB15a-y298G5X,2018-05-30,Song Sparrow,F,64,21.6
tei75qpUtM-p2Ts0L3,2018-06-06,Song Sparrow,F,66,19.9
eSLAF0Ty27-bTLpC84,2018-07-09,Gray Catbird,M,89,36.5
x487I5AC4r-vb0Lp5v,2018-06-14,Northern Cardinal,M,95,38.7
xoM9WF8hvy-p1YB3nG,2018-06-18,House Wren,F,46,13.4
dEw166108T-z5e4QBN,2018-07-07,Gray Catbird,M,91,35.4
fI645JR1Px-vb0Lp5v,2018-06-14,Northern Cardinal,F,86,44.8
o0yrsp2fJ9-bTLpC84,2018-07-09,House Wren,M,47,11.9
hTqJ2h9879-bTLpC84,2018-07-09,American Robin,M,127,71.2
rBd64E7UF7-al5UY0q,2018-06-07,Gray Catbird,M,90,36.1
jg4D4N10E9-z87hB72,2018-06-09,American Robin,M,134,78.4
j10R6lH5Vp-iya2vN5,2018-06-21,Carolina Wren,F,60,18.2
a5svFWU1cf-p5qD67F,2018-07-06,House Wren,F,49,11.6
z28m1RKkVM-al5UY0q,2018-06-07,Song Sparrow,M,68,20.8
h9s8y0VGlN-y298G5X,2018-05-30,Northern Cardinal,F,89,43.5
n1W6uM087H-bTLpC84,2018-07-09,Northern Cardinal,F,91,39.7
ir8Z1vSy04-b035Gh9,2018-07-10,Gray Catbird,M,88,33.9
ao0K84U4ZY-pMf7155,2018-06-04,Northern Cardinal,M,92,40.6
cPMV8b1yO8-r28dLgX,2018-06-19,Song Sparrow,F,64,23
luy524gZN7-bTLpC84,2018-07-09,Gray Catbird,M,85,35.1
ssADkjRNKc-vb0Lp5v,2018-06-14,Gray Catbird,M,86,33.9
a4X6xL038v-oT2sA89,2018-06-28,Northern Cardinal,M,95,43.6
cAJ394sdPT-r75g1sF,2018-07-05,Northern Cardinal,F,92,36.3
o8170v3KP3-p5qD67F,2018-07-06,Gray Catbird,M,85,28.2
xrO0k7s2uj-iya2vN5,2018-06-21,Gray Catbird,M,88,34.5
i2q8z36E53-oN4SrXm,2018-06-16,Northern Cardinal,F,87,45.4
uV97Ts1A1S-vB16318,2018-06-15,Gray Catbird,M,90,35.6
fc8MChrGA7-bTLpC84,2018-07-09,American Robin,M,121,74.1
sOtjl2wxmn-iya2vN5,2018-06-21,Gray Catbird,F,87,41.8
vIE3ql9T42-vb0Lp5v,2018-06-14,Northern Cardinal,F,86,40.5
eErFV7x6Wh-pMf7155,2018-06-04,Song Sparrow,M,63,21.4
ed5zZ48m7W-vVpM618,2018-06-25,Northern Cardinal,F,93,45.1
d219p338c7-r75g1sF,2018-07-05,Northern Cardinal,M,95,46.7
bza4qu7Q20-r75g1sF,2018-07-05,Northern Cardinal,F,90,45.7
ai04mOB1VI-vsAagil,2018-06-26,Song Sparrow,M,65,19.6
j7Z4JSA1H0-g616u8n,2018-07-03,American Robin,F,126,69.8
eLBPgG5h51-p5qD67F,2018-07-06,House Wren,M,49,10.4
o34FhsRf2k-g616u8n,2018-07-03,Northern Cardinal,F,96,44.3
m7eh4oq2ZP-vVpM618,2018-06-25,Carolina Wren,F,62,20.4
f5tjD8KAoC-b035Gh9,2018-07-10,House Wren,M,48,11
ax6G9FSAeq-ohpYlDi,2018-07-17,Northern Cardinal,F,89,41.3
wOQ9T0pmIR-yQim0Cg,2018-07-21,Gray Catbird,M,91,37.5
lmJy3Fq6sc-b3x4t16,2018-07-14,Carolina Wren,F,64,18.3
fI8pqj0J2Y-e2368SP,2018-07-18,Gray Catbird,F,91,32.4
fAg3b44d87-ohpYlDi,2018-07-17,Gray Catbird,F,92,35.7
bMS5Kz9DHu-yQim0Cg,2018-07-21,Song Sparrow,M,72,21.7
yUiyS42Lq3-e2368SP,2018-07-18,Northern Cardinal,M,95,43.6
e9ia7SCe8L-p0aqh28,2018-07-11,House Wren,M,66,20.9
ate7pH2YL1-u86w7cg,2018-07-13,House Wren,M,50,10.4
e9z3DE32dt-e2368SP,2018-07-18,Gray Catbird,M,89,36.2
mdH353r61y-w3x4816,2018-07-26,Song Sparrow,M,71,20.9
e3A5Q4I2ki-p0aqh28,2018-07-11,Song Sparrow,M,66,21.7
dCtzb3X71E-b3x4t16,2018-07-14,Gray Catbird,F,91,37.7
m001g2y14M-p0aqh28,2018-07-11,House Wren,F,49,10.7
jaJAmQbi8o-j7aZN9D,2018-07-25,Carolina Chickadee,M,63,9.4
f3jqe2Cy7F-m96n2pa,2019-05-20,House Wren,M,46,11.5
h9ni5h1Zvx-a1z6g85,2019-05-22,Northern Cardinal,M,90,39.8
rH2pt19v7f-a1z6g85,2019-05-22,Northern Cardinal,M,87,37.5
o59AXkpCNW-m9asYJ2,2019-05-23,Carolina Chickadee,F,63,10.1
qCVNkOzsh9-m9asYJ2,2019-05-23,Northern Cardinal,F,87,44.7
b5bTXKf21o-m9asYJ2,2019-05-23,Northern Cardinal,M,91,41.8
iDbs6Rge5l-m9asYJ2,2019-05-23,Northern Cardinal,M,95,44.2
o3fEiBNjtm-yZWP2BM,2019-05-17,Song Sparrow,M,65,21
roX44HY58e-kEO9ax6,2019-05-15,Carolina Chickadee,M,59.5,9.4
a89knXYOtq-a1z6g85,2019-05-22,Carolina Wren,F,61,20.2
mHj2dafn24-m9asYJ2,2019-05-23,Northern Cardinal,F,92,43
or4s6RVzJI-yZWP2BM,2019-05-17,Song Sparrow,F,58,16.1
vwhdxO5qf5-yZWP2BM,2019-05-17,American Robin,F,124,84.5
epth0W1n96-m96n2pa,2019-05-20,Gray Catbird,M,93,39.5
