year,date,time,tag_id,rssi
2024,2024-11-25,2024-11-25T16:13:05Z,611E2A2D22,-81
2024,2024-11-25,2024-11-25T16:13:06Z,4C52336167,-58
2024,2024-11-25,2024-11-25T16:13:07Z,522D1E66B6,-72
2024,2024-11-25,2024-11-25T16:13:07Z,3366551929,-73
2024,2024-11-25,2024-11-25T16:13:08Z,34522D2D87,-85
2024,2024-11-25,2024-11-25T16:13:08Z,4C336166FA,-70
2024,2024-11-25,2024-11-25T16:13:08Z,521978190D,-72
2024,2024-11-25,2024-11-25T16:13:10Z,55522A34E0,-76
2024,2024-11-25,2024-11-25T16:13:10Z,611E2A2D22,-86
2024,2024-11-25,2024-11-25T16:13:11Z,4C52336167,-58
2024,2024-11-25,2024-11-25T16:13:12Z,522D1E66B6,-71
2024,2024-11-25,2024-11-25T16:13:13Z,3366551929,-73
2024,2024-11-25,2024-11-25T16:13:13Z,34522D2D87,-81
2024,2024-11-25,2024-11-25T16:13:14Z,521978190D,-71
2024,2024-11-25,2024-11-25T16:13:15Z,55522A34E0,-75
2024,2024-11-25,2024-11-25T16:13:16Z,611E2A2D22,-84
2024,2024-11-25,2024-11-25T16:13:17Z,4C52336167,-59
2024,2024-11-25,2024-11-25T16:13:18Z,522D1E66B6,-72
2024,2024-11-25,2024-11-25T16:13:18Z,3366551929,-74
2024,2024-11-25,2024-11-25T16:13:18Z,34522D2D87,-85
2024,2024-11-25,2024-11-25T16:13:19Z,521978190D,-72
2024,2024-11-25,2024-11-25T16:13:19Z,4C336166FA,-73
2024,2024-11-25,2024-11-25T16:13:20Z,55522A34E0,-78
2024,2024-11-25,2024-11-25T16:13:21Z,611E2A2D22,-89
2024,2024-11-25,2024-11-25T16:13:22Z,4C52336167,-58
2024,2024-11-25,2024-11-25T16:13:23Z,522D1E66B6,-74
2024,2024-11-25,2024-11-25T16:13:23Z,3366551929,-74
2024,2024-11-25,2024-11-25T16:13:24Z,521978190D,-70
2024,2024-11-25,2024-11-25T16:13:24Z,4C336166FA,-77
2024,2024-11-25,2024-11-25T16:13:25Z,55522A34E0,-84
2024,2024-11-25,2024-11-25T16:13:26Z,611E2A2D22,-91
2024,2024-11-25,2024-11-25T16:13:27Z,4C52336167,-60
2024,2024-11-25,2024-11-25T16:13:28Z,522D1E66B6,-77
2024,2024-11-25,2024-11-25T16:13:28Z,3366551929,-75
2024,2024-11-25,2024-11-25T16:13:29Z,34522D2D87,-87
2024,2024-11-25,2024-11-25T16:13:29Z,521978190D,-71
2024,2024-11-25,2024-11-25T16:13:30Z,4C336166FA,-75
2024,2024-11-25,2024-11-25T16:13:31Z,55522A34E0,-81
2024,2024-11-25,2024-11-25T16:13:31Z,611E2A2D22,-90
2024,2024-11-25,2024-11-25T16:13:32Z,4C52336167,-58
2024,2024-11-25,2024-11-25T16:13:33Z,522D1E66B6,-75
2024,2024-11-25,2024-11-25T16:13:33Z,3366551929,-73
2024,2024-11-25,2024-11-25T16:13:34Z,34522D2D87,-85
2024,2024-11-25,2024-11-25T16:13:34Z,521978190D,-70
2024,2024-11-25,2024-11-25T16:13:35Z,4C336166FA,-76
2024,2024-11-25,2024-11-25T16:13:36Z,55522A34E0,-78
2024,2024-11-25,2024-11-25T16:13:37Z,611E2A2D22,-84
2024,2024-11-25,2024-11-25T16:13:38Z,4C52336167,-58
2024,2024-11-25,2024-11-25T16:13:39Z,522D1E66B6,-72
2024,2024-11-25,2024-11-25T16:13:39Z,3366551929,-73
2024,2024-11-25,2024-11-25T16:13:43Z,4C52336167,-58
2024,2024-11-25,2024-11-25T16:13:45Z,522D1E66B6,-64
2024,2024-11-25,2024-11-25T16:13:45Z,3366551929,-81
2024,2024-11-25,2024-11-25T16:13:46Z,34522D2D87,-75
2024,2024-11-25,2024-11-25T16:13:46Z,521978190D,-68
2024,2024-11-25,2024-11-25T16:13:47Z,4C336166FA,-64
2024,2024-11-25,2024-11-25T16:13:47Z,55522A34E0,-64
2024,2024-11-25,2024-11-25T16:13:48Z,611E2A2D22,-69
2024,2024-11-25,2024-11-25T16:13:49Z,4C52336167,-66
2024,2024-11-25,2024-11-25T16:13:50Z,522D1E66B6,-61
2024,2024-11-25,2024-11-25T16:13:50Z,3366551929,-60
2024,2024-11-25,2024-11-25T16:13:51Z,34522D2D87,-64
2024,2024-11-25,2024-11-25T16:13:51Z,521978190D,-54
2024,2024-11-25,2024-11-25T16:13:52Z,4C336166FA,-61
2024,2024-11-25,2024-11-25T16:13:53Z,55522A34E0,-61
2024,2024-11-25,2024-11-25T16:13:53Z,611E2A2D22,-58
2024,2024-11-25,2024-11-25T16:13:55Z,4C52336167,-47
2024,2024-11-25,2024-11-25T16:13:55Z,522D1E66B6,-64
2024,2024-11-25,2024-11-25T16:13:56Z,3366551929,-62
2024,2024-11-25,2024-11-25T16:13:56Z,34522D2D87,-59
2024,2024-11-25,2024-11-25T16:13:56Z,521978190D,-59
2024,2024-11-25,2024-11-25T16:13:58Z,4C336166FA,-72
2024,2024-11-25,2024-11-25T16:13:58Z,55522A34E0,-63
2024,2024-11-25,2024-11-25T16:13:59Z,611E2A2D22,-58
2024,2024-11-25,2024-11-25T16:14:00Z,4C52336167,-47
2024,2024-11-25,2024-11-25T16:14:01Z,522D1E66B6,-62
2024,2024-11-25,2024-11-25T16:14:01Z,3366551929,-63
2024,2024-11-25,2024-11-25T16:14:01Z,34522D2D87,-60
2024,2024-11-25,2024-11-25T16:14:02Z,521978190D,-59
2024,2024-11-25,2024-11-25T16:14:03Z,4C336166FA,-61
2024,2024-11-25,2024-11-25T16:14:03Z,55522A34E0,-64
2024,2024-11-25,2024-11-25T16:14:04Z,611E2A2D22,-58
2024,2024-11-25,2024-11-25T16:14:05Z,4C52336167,-47
2024,2024-11-25,2024-11-25T16:14:06Z,522D1E66B6,-64
2024,2024-11-25,2024-11-25T16:14:06Z,3366551929,-62
2024,2024-11-25,2024-11-25T16:14:06Z,34522D2D87,-56
2024,2024-11-25,2024-11-25T16:14:07Z,521978190D,-60
2024,2024-11-25,2024-11-25T16:14:08Z,4C336166FA,-58
2024,2024-11-25,2024-11-25T16:14:08Z,55522A34E0,-69
2024,2024-11-25,2024-11-25T16:14:09Z,611E2A2D22,-66
2024,2024-11-25,2024-11-25T16:14:10Z,4C52336167,-64
2024,2024-11-25,2024-11-25T16:14:11Z,522D1E66B6,-67
2024,2024-11-25,2024-11-25T16:14:11Z,3366551929,-75
2024,2024-11-25,2024-11-25T16:14:12Z,34522D2D87,-72
2024,2024-11-25,2024-11-25T16:14:12Z,521978190D,-70
2024,2024-11-25,2024-11-25T16:14:13Z,55522A34E0,-63
2024,2024-11-25,2024-11-25T16:14:14Z,611E2A2D22,-54
2024,2024-11-25,2024-11-25T16:14:16Z,4C52336167,-51
2024,2024-11-25,2024-11-25T16:14:16Z,522D1E66B6,-67
2024,2024-11-25,2024-11-25T16:14:16Z,3366551929,-75
2024,2024-11-25,2024-11-25T16:14:21Z,4C52336167,-54
2024,2024-11-25,2024-11-25T16:14:21Z,522D1E66B6,-64
2024,2024-11-25,2024-11-25T16:14:22Z,3366551929,-70
2024,2024-11-25,2024-11-25T16:14:22Z,34522D2D87,-71
2024,2024-11-25,2024-11-25T16:14:22Z,521978190D,-65
2024,2024-11-25,2024-11-25T16:14:24Z,55522A34E0,-72
2024,2024-11-25,2024-11-25T16:14:24Z,4C336166FA,-64
2024,2024-11-25,2024-11-25T16:14:25Z,611E2A2D22,-60
2024,2024-11-25,2024-11-25T16:14:26Z,4C52336167,-58
2024,2024-11-25,2024-11-25T16:14:27Z,522D1E66B6,-65
2024,2024-11-25,2024-11-25T16:14:27Z,3366551929,-63
2024,2024-11-25,2024-11-25T16:14:27Z,34522D2D87,-69
2024,2024-11-25,2024-11-25T16:14:28Z,521978190D,-60
2024,2024-11-25,2024-11-25T16:14:29Z,55522A34E0,-81
2024,2024-11-25,2024-11-25T16:14:29Z,4C336166FA,-64
2024,2024-11-25,2024-11-25T16:14:30Z,611E2A2D22,-58
2024,2024-11-25,2024-11-25T16:14:31Z,4C52336167,-57
2024,2024-11-25,2024-11-25T16:14:32Z,522D1E66B6,-58
2024,2024-11-25,2024-11-25T16:14:32Z,3366551929,-75
2024,2024-11-25,2024-11-25T16:14:32Z,34522D2D87,-70
2024,2024-11-25,2024-11-25T16:14:33Z,521978190D,-60
2024,2024-11-25,2024-11-25T16:14:34Z,55522A34E0,-76
2024,2024-11-25,2024-11-25T16:14:35Z,4C336166FA,-63
2024,2024-11-25,2024-11-25T16:14:35Z,611E2A2D22,-59
2024,2024-11-25,2024-11-25T16:14:37Z,4C52336167,-43
2024,2024-11-25,2024-11-25T16:14:37Z,522D1E66B6,-66
2024,2024-11-25,2024-11-25T16:14:37Z,3366551929,-70
2024,2024-11-25,2024-11-25T16:14:38Z,34522D2D87,-63
2024,2024-11-25,2024-11-25T16:14:38Z,521978190D,-61
2024,2024-11-25,2024-11-25T16:14:39Z,55522A34E0,-60
2024,2024-11-25,2024-11-25T16:14:40Z,4C336166FA,-66
2024,2024-11-25,2024-11-25T16:14:40Z,611E2A2D22,-60
2024,2024-11-25,2024-11-25T16:14:42Z,4C52336167,-58
2024,2024-11-25,2024-11-25T16:14:42Z,522D1E66B6,-64
2024,2024-11-25,2024-11-25T16:14:42Z,3366551929,-76
2024,2024-11-25,2024-11-25T16:14:43Z,34522D2D87,-74
2024,2024-11-25,2024-11-25T16:14:43Z,521978190D,-57
2024,2024-11-25,2024-11-25T16:14:45Z,55522A34E0,-73
2024,2024-11-25,2024-11-25T16:14:45Z,611E2A2D22,-60
2024,2024-11-25,2024-11-25T16:14:45Z,4C336166FA,-60
2024,2024-11-25,2024-11-25T16:14:47Z,4C52336167,-58
2024,2024-11-25,2024-11-25T16:14:47Z,522D1E66B6,-86
2024,2024-11-25,2024-11-25T16:14:48Z,3366551929,-85
2024,2024-11-25,2024-11-25T16:14:48Z,34522D2D87,-74
2024,2024-11-25,2024-11-25T16:14:48Z,521978190D,-60
