Site_ID,Treatment,Sample_number,Provisional_ID,ID2,Caterpillar_mass_mg
163,LED,2,brown geo - agriopis,Brown geo,66.6
163,Unlit,26,ypsolopha,Ypsolopha,7.6
163,LED,4,brown geo - agriopis,Brown geo,123
163,Unlit,18,Micro. Tortrix?,Micro,64.8
163,LED,5,brown geo.,Brown geo,36.5
163,Unlit,21,common footman,Common Footman,66.8
163,LED,2,Micro. Tortrix?,Micro,6.9
163,Unlit,16,brown noctuid,Dark noctuid,171.5
133,HPS,1,winter Moth,Winter moth sp,46.24
133,LED,8,Micro. Tortrix?,Micro,29.4
133,LED,7,Micro. Tortrix?,Micro,18.6
133,LED,4,winter Moth,Winter moth sp,40.4
133,LED,5,"Spotty, noctuid - eg apamea?",Dark noctuid,53.3
133,LED,6,acrobasis,Acrobasis,22.7
133,HPS,11,coleophora,Coleophora,14.44
133,LED,4,acrobasis,Acrobasis,39.7
133,LED,4,winter Moth,Winter moth sp,35.8
133,LED,5,unknown - mush,Unknown,34.7
133,LED,2,brown geo.,Brown geo,21
133,HPS,1,brown geo.,Brown geo,6.4
133,HPS,1,angle shades?,Angle Shades,265.87
133,LED,6,Micro?,Micro,45.84
133,LED,2,green noctuid. Pale stripe,Green noctuid,232.2
133,LED,8,coleophora,Coleophora,2.2
133,LED,3,green geo. Epirrata?,Epirrata?,75.14
133,LED,2,green noctuid. Pale stripe,Green noctuid,34.4
133,LED,5,Micro?,Micro,14.9
133,HPS,10,coleophora,Coleophora,3.04
133,LED,3,acrobasis,Acrobasis,32
133,LED,3,brown geo.,Brown geo,19.2
133,LED,4,winter Moth,Winter moth sp,50.7
133,Unlit,13,coleophora,Coleophora,13.4
133,LED,6,Micro. Tortrix?,Micro,17.5
133,LED,4,winter Moth,Winter moth sp,23.5
133,LED,3,winter Moth,Winter moth sp,46.6
133,LED,9,coleophora,Coleophora,33.5
133,LED,6,coleophora,Coleophora,9.2
133,LED,8,unknown - tiny,Unknown,14.3
133,LED,5,coleophora,Coleophora,16.5
133,HPS,1,green noctuid.,Green noctuid,145.47
133,LED,6,winter Moth,Winter moth sp,65.24
133,LED,2,acrobasis,Acrobasis,28.54
133,LED,5,winter Moth,Winter moth sp,55.84
133,LED,3,acrobasis,Acrobasis,26.9
133,HPS,1,brown geo - agriopis,Brown geo,93.9
133,HPS,11,coleophora,Coleophora,49.9
133,LED,2,brown geo - agriopis,Brown geo,49.6
133,LED,4,winter Moth,Winter moth sp,58.64
133,HPS,1,brown tail,Brown-tail,322.77
133,LED,5,Micro?,Micro,26.3
133,LED,2,winter Moth,Winter moth sp,43.1
133,LED,7,unknown - tiny,Unknown,9.64
133,LED,9,coleophora,Coleophora,12
133,LED,6,brown geo,Brown geo,11.04
133,LED,7,coleophora,Coleophora,6.54
133,LED,3,winter Moth,Winter moth sp,57.4
133,Unlit,12,coleophora,Coleophora,0.84
133,HPS,10,coleophora,Coleophora,9.54
168,Unlit,13,brown geo - agriopis,Brown geo,63.24
168,Unlit,3,winter Moth,Winter moth sp,86.4
168,Unlit,7,coleophora,Coleophora,12.6
168,Unlit,14,coleophora,Coleophora,9.6
168,Unlit,2,unknown - mush,Unknown,75.6
168,LED,11,ypsolopha,Ypsolopha,21.4
168,Unlit,2,unknown - mush,Unknown,23.64
168,Unlit,12,Micro?,Micro,10.4
168,LED,6,Micro. Tortrix?,Micro,16.3
168,Unlit,1,brown geo - agriopis,Brown geo,60.3
168,Unlit,5,unknown - mush,Unknown,8.4
168,LED,11,brown geo,Brown geo,19.14
168,Unlit,16,brown geo,Brown geo,42.9
168,Unlit,18,unknown - mush,Unknown,23.64
168,Unlit,16,Micro?,Micro,16.2
168,Unlit,5,brown geo,Brown geo,17.6
168,Unlit,14,brown geo - agriopis,Brown geo,45.7
168,Unlit,17,winter Moth,Winter moth sp,94.6
168,Unlit,9,Micro?,Micro,41.2
168,LED,10,ypsolopha,Ypsolopha,13.6
168,LED,6,coleophora,Coleophora,10.5
168,LED,8,coleophora,Coleophora,8
168,Unlit,4,winter Moth,Winter moth sp,21.5
168,Unlit,15,Micro?,Micro,41.8
168,Unlit,5,winter Moth,Winter moth sp,60.9
168,Unlit,7,brown geo - agriopis,Brown geo,67.74
168,Unlit,2,lackey,Lackey,190.4
168,Unlit,3,brown geo - agriopis,Brown geo,62.5
168,Unlit,3,Micro. Tortrix?,Micro,24.3
168,Unlit,5,unknown geo,Unknown,47.4
168,LED,8,brown geo - agriopis,Brown geo,35.8
168,Unlit,13,Micro?,Micro,18.2
168,LED,6,unknown - mush,Unknown,21.7
168,Unlit,9,ypsolopha,Ypsolopha,9.44
168,LED,6,brown geo - agriopis,Brown geo,51.24
168,Unlit,12,unknown - mush,Unknown,72.74
168,LED,10,northern Winter,Winter moth sp,19.3
168,Unlit,3,unknown - mush,Unknown,27.44
168,Unlit,19,brown geo - agriopis,Brown geo,55.64
168,Unlit,1,green noctuid. Pale stripe,Green noctuid,219.5
168,LED,8,green noctuid.,Green noctuid,108.4
168,Unlit,2,brown geo,Brown geo,38.4
168,Unlit,5,winter Moth,Winter moth sp,46.7
168,Unlit,1,unknown - mush,Unknown,8
168,Unlit,4,winter Moth,Winter moth sp,26.8
168,Unlit,4,Micro?,Micro,15.5
168,LED,6,brown geo - agriopis,Brown geo,56.3
168,Unlit,3,brown geo - agriopis,Brown geo,42.1
168,Unlit,7,brown geo,Brown geo,23.3
168,Unlit,2,brown geo - agriopis,Brown geo,61.2
168,LED,11,unknown - tiny,Unknown,10
168,Unlit,4,unknown - tiny,Unknown,10.3
168,Unlit,4,northern Winter,Winter moth sp,43.24
168,Unlit,1,unknown - mush,Unknown,19.4
168,Unlit,9,brown geo - agriopis,Brown geo,59.5
168,Unlit,15,brown geo,Brown geo,19.34
168,Unlit,2,green noctuid.,Green noctuid,124.7
168,Unlit,1,brown geo - agriopis,Brown geo,11.1
168,Unlit,7,brown geo,Brown geo,24
168,Unlit,1,unknown - mush,Unknown,27.54
168,LED,8,brown geo - agriopis,Brown geo,76.54
168,Unlit,3,winter Moth,Winter moth sp,28.9
168,Unlit,4,brown geo,Brown geo,22.8
168,LED,10,ypsolopha,Ypsolopha,15.04
168,Unlit,7,dark noctuid. Pale stripe. ,Dark noctuid,178
216,Unlit,1,Micro?,Micro,15.5
216,Unlit,1,green geo. Epirrata?,Epirrata?,88.9
216,Unlit,2,brown noctuid with pale stripe,Dark noctuid,22.8
216,Unlit,1,winter Moth,Winter moth sp,27.8
