Visit_ID,Site_ID,Treatment,Sample_number,Provisional_ID,ID2,Caterpillar_mass_mg,DaysSince
10,163,LED,6,Small noctuid - SSR?,Brown noctuid,36.7,12
10,163,LED,7,Small noctuid - SSR?,Brown noctuid,60.1,12
10,163,LED,8,Small noctuid - SSR?,Brown noctuid,34.9,12
10,163,LED,9,Small noctuid - SSR?,Brown noctuid,25.7,12
10,163,LED,10,Small noctuid - SSR?,Brown noctuid,49.1,12
10,163,LED,11,Small noctuid - SSR?,Brown noctuid,35.1,12
10,163,LED,12,Small noctuid - SSR?,Brown noctuid,48.8,12
10,163,LED,13,Small noctuid - SSR?,Brown noctuid,39.1,12
10,163,LED,14,Small noctuid - SSR?,Brown noctuid,45.7,12
10,163,LED,15,Small noctuid - SSR?,Brown noctuid,34.1,12
10,163,LED,16,Small noctuid - SSR?,Brown noctuid,37.9,12
10,163,LED,17,Small noctuid - SSR?,Brown noctuid,66.1,12
10,163,LED,18,Small noctuid - SSR?,Brown noctuid,85.4,12
10,163,LED,19,Small noctuid - SSR?,Brown noctuid,150.4,12
10,163,LED,20,Small noctuid - SSR?,Brown noctuid,30.1,12
10,163,LED,21,Small noctuid - SSR?,Brown noctuid,50.6,12
10,163,LED,22,Small noctuid - SSR?,Brown noctuid,37.8,12
10,163,LED,23,Small noctuid - SSR?,Brown noctuid,31.1,12
10,163,LED,24,Small noctuid - SSR?,Brown noctuid,49.2,12
10,163,LED,25,Small noctuid - SSR?,Brown noctuid,46.9,12
10,163,LED,26,Small noctuid - SSR?,Brown noctuid,43.5,12
10,163,LED,27,Small noctuid - SSR?,Brown noctuid,16.8,12
10,163,LED,28,Small noctuid - SSR?,Brown noctuid,47.1,12
10,163,LED,29,Small noctuid - SSR?,Brown noctuid,29.9,12
10,163,LED,30,Small noctuid - SSR?,Brown noctuid,36.1,12
10,163,LED,31,Small noctuid - SSR?,Brown noctuid,30.9,12
10,163,LED,32,Small noctuid - SSR?,Brown noctuid,46,12
10,163,LED,33,Small noctuid - SSR?,Brown noctuid,59.4,12
10,163,LED,34,Small noctuid - SSR?,Brown noctuid,41.7,12
10,163,LED,35,Small noctuid - SSR?,Brown noctuid,43.9,12
10,163,LED,36,Small noctuid - SSR?,Brown noctuid,38.1,12
10,163,Unlit,1,dark noctuid.,Dart noctuid,379.3,12
10,163,Unlit,2,Green noctuid,Green noctuid,60.5,12
10,163,Unlit,3,Green noctuid,Green noctuid,57.1,12
10,163,Unlit,4,Green noctuid,Green noctuid,12.4,12
10,163,Unlit,5,Green noctuid,Green noctuid,38.6,12
10,163,Unlit,6,Green noctuid,Green noctuid,21.6,12
10,163,Unlit,7,Small noctuid - SSR?,Brown noctuid,50.2,12
10,163,Unlit,8,Small noctuid - SSR?,Brown noctuid,69.4,12
10,163,Unlit,9,Small noctuid - SSR?,Brown noctuid,93.8,12
10,163,Unlit,10,Small noctuid - SSR?,Brown noctuid,32.2,12
10,163,Unlit,11,Small noctuid - SSR?,Brown noctuid,27.9,12
10,163,Unlit,12,Small noctuid - SSR?,Brown noctuid,55.1,12
10,163,Unlit,13,Small noctuid - SSR?,Brown noctuid,24.5,12
10,163,Unlit,14,Small noctuid - SSR?,Brown noctuid,24.3,12
10,163,Unlit,15,Small noctuid - SSR?,Brown noctuid,10.5,12
10,163,Unlit,16,Small noctuid - SSR?,Brown noctuid,22.54,12
10,163,Unlit,17,Small noctuid - SSR?,Brown noctuid,14.24,12
10,163,Unlit,18,Small noctuid - SSR?,Brown noctuid,14.84,12
10,163,Unlit,19,Small noctuid - SSR?,Brown noctuid,8.44,12
10,163,Unlit,20,Small noctuid - SSR?,Brown noctuid,10.24,12
