year,date,time,tag_id,rssi
2024,2024-11-15,2024-11-15T16:10:24Z,7FFFFFFF,-49
2024,2024-11-15,2024-11-15T16:10:46Z,7FFFFFFF,-48
2024,2024-11-15,2024-11-15T16:10:50Z,7FFFFFFF,-47
2024,2024-11-15,2024-11-15T16:10:54Z,7FFFFFFF,-45
2024,2024-11-15,2024-11-15T16:11:03Z,7FFFFFFF,-48
2024,2024-11-15,2024-11-15T16:11:26Z,00000000,-49
2024,2024-11-15,2024-11-15T16:11:30Z,55522A34E0,-66
2024,2024-11-15,2024-11-15T16:11:30Z,611E2A2D22,-64
2024,2024-11-15,2024-11-15T16:11:33Z,522D1E66B6,-66
2024,2024-11-15,2024-11-15T16:11:35Z,4C336166FA,-63
2024,2024-11-15,2024-11-15T16:11:35Z,55522A34E0,-60
2024,2024-11-15,2024-11-15T16:11:35Z,34522D2D87,-62
2024,2024-11-15,2024-11-15T16:11:36Z,611E2A2D22,-52
2024,2024-11-15,2024-11-15T16:11:36Z,3366551929,-59
2024,2024-11-15,2024-11-15T16:11:36Z,521978190D,-54
2024,2024-11-15,2024-11-15T16:11:36Z,4C52336167,-43
2024,2024-11-15,2024-11-15T16:11:39Z,522D1E66B6,-55
2024,2024-11-15,2024-11-15T16:11:40Z,4C336166FA,-62
2024,2024-11-15,2024-11-15T16:11:40Z,55522A34E0,-59
2024,2024-11-15,2024-11-15T16:11:41Z,34522D2D87,-67
2024,2024-11-15,2024-11-15T16:11:41Z,611E2A2D22,-54
2024,2024-11-15,2024-11-15T16:11:41Z,3366551929,-64
2024,2024-11-15,2024-11-15T16:11:41Z,521978190D,-55
2024,2024-11-15,2024-11-15T16:11:41Z,4C52336167,-46
2024,2024-11-15,2024-11-15T16:11:44Z,522D1E66B6,-58
2024,2024-11-15,2024-11-15T16:11:45Z,4C336166FA,-53
2024,2024-11-15,2024-11-15T16:11:45Z,55522A34E0,-55
2024,2024-11-15,2024-11-15T16:11:46Z,34522D2D87,-67
2024,2024-11-15,2024-11-15T16:11:46Z,611E2A2D22,-54
2024,2024-11-15,2024-11-15T16:11:46Z,3366551929,-68
2024,2024-11-15,2024-11-15T16:11:46Z,521978190D,-57
2024,2024-11-15,2024-11-15T16:11:47Z,4C52336167,-56
2024,2024-11-15,2024-11-15T16:11:49Z,522D1E66B6,-58
2024,2024-11-15,2024-11-15T16:11:51Z,4C336166FA,-66
2024,2024-11-15,2024-11-15T16:11:51Z,55522A34E0,-56
2024,2024-11-15,2024-11-15T16:11:51Z,34522D2D87,-75
2024,2024-11-15,2024-11-15T16:11:51Z,611E2A2D22,-55
2024,2024-11-15,2024-11-15T16:11:51Z,3366551929,-83
2024,2024-11-15,2024-11-15T16:11:51Z,521978190D,-69
2024,2024-11-15,2024-11-15T16:11:52Z,4C52336167,-58
2024,2024-11-15,2024-11-15T16:11:54Z,522D1E66B6,-55
2024,2024-11-15,2024-11-15T16:11:56Z,4C336166FA,-62
2024,2024-11-15,2024-11-15T16:11:56Z,34522D2D87,-69
2024,2024-11-15,2024-11-15T16:11:56Z,611E2A2D22,-54
2024,2024-11-15,2024-11-15T16:11:57Z,3366551929,-71
2024,2024-11-15,2024-11-15T16:11:57Z,521978190D,-64
2024,2024-11-15,2024-11-15T16:11:57Z,4C52336167,-53
2024,2024-11-15,2024-11-15T16:11:59Z,522D1E66B6,-54
2024,2024-11-15,2024-11-15T16:12:01Z,55522A34E0,-57
2024,2024-11-15,2024-11-15T16:12:01Z,4C336166FA,-54
2024,2024-11-15,2024-11-15T16:12:06Z,55522A34E0,-68
2024,2024-11-15,2024-11-15T16:12:07Z,4C336166FA,-58
2024,2024-11-15,2024-11-15T16:12:07Z,34522D2D87,-73
2024,2024-11-15,2024-11-15T16:12:07Z,611E2A2D22,-53
2024,2024-11-15,2024-11-15T16:12:07Z,3366551929,-72
2024,2024-11-15,2024-11-15T16:12:07Z,521978190D,-63
2024,2024-11-15,2024-11-15T16:12:08Z,4C52336167,-63
2024,2024-11-15,2024-11-15T16:12:10Z,522D1E66B6,-55
2024,2024-11-15,2024-11-15T16:12:12Z,55522A34E0,-56
2024,2024-11-15,2024-11-15T16:12:12Z,34522D2D87,-63
2024,2024-11-15,2024-11-15T16:12:12Z,611E2A2D22,-51
2024,2024-11-15,2024-11-15T16:12:12Z,3366551929,-65
2024,2024-11-15,2024-11-15T16:12:12Z,521978190D,-57
2024,2024-11-15,2024-11-15T16:12:13Z,4C52336167,-60
2024,2024-11-15,2024-11-15T16:12:15Z,522D1E66B6,-76
2024,2024-11-15,2024-11-15T16:12:17Z,55522A34E0,-59
2024,2024-11-15,2024-11-15T16:12:17Z,34522D2D87,-66
2024,2024-11-15,2024-11-15T16:12:17Z,4C336166FA,-62
2024,2024-11-15,2024-11-15T16:12:17Z,3366551929,-68
2024,2024-11-15,2024-11-15T16:12:17Z,521978190D,-62
2024,2024-11-15,2024-11-15T16:12:18Z,4C52336167,-49
2024,2024-11-15,2024-11-15T16:12:20Z,522D1E66B6,-64
2024,2024-11-15,2024-11-15T16:12:22Z,55522A34E0,-60
2024,2024-11-15,2024-11-15T16:12:22Z,34522D2D87,-72
2024,2024-11-15,2024-11-15T16:12:22Z,611E2A2D22,-64
2024,2024-11-15,2024-11-15T16:12:23Z,4C336166FA,-66
2024,2024-11-15,2024-11-15T16:12:23Z,3366551929,-74
2024,2024-11-15,2024-11-15T16:12:23Z,521978190D,-77
2024,2024-11-15,2024-11-15T16:12:23Z,4C52336167,-46
2024,2024-11-15,2024-11-15T16:12:26Z,522D1E66B6,-63
2024,2024-11-15,2024-11-15T16:12:27Z,55522A34E0,-59
2024,2024-11-15,2024-11-15T16:12:27Z,34522D2D87,-69
2024,2024-11-15,2024-11-15T16:12:28Z,611E2A2D22,-59
2024,2024-11-15,2024-11-15T16:12:28Z,3366551929,-71
2024,2024-11-15,2024-11-15T16:12:28Z,521978190D,-54
2024,2024-11-15,2024-11-15T16:12:29Z,4C52336167,-54
2024,2024-11-15,2024-11-15T16:12:31Z,522D1E66B6,-71
2024,2024-11-15,2024-11-15T16:12:32Z,55522A34E0,-60
2024,2024-11-15,2024-11-15T16:12:33Z,34522D2D87,-72
2024,2024-11-15,2024-11-15T16:12:33Z,611E2A2D22,-54
2024,2024-11-15,2024-11-15T16:12:33Z,3366551929,-66
2024,2024-11-15,2024-11-15T16:12:33Z,521978190D,-52
2024,2024-11-15,2024-11-15T16:12:33Z,4C336166FA,-66
2024,2024-11-15,2024-11-15T16:12:34Z,4C52336167,-47
2024,2024-11-15,2024-11-15T16:12:36Z,522D1E66B6,-69
2024,2024-11-15,2024-11-15T16:12:38Z,55522A34E0,-60
2024,2024-11-15,2024-11-15T16:12:38Z,34522D2D87,-69
2024,2024-11-15,2024-11-15T16:12:38Z,611E2A2D22,-52
2024,2024-11-15,2024-11-15T16:12:38Z,3366551929,-74
2024,2024-11-15,2024-11-15T16:12:38Z,521978190D,-54
2024,2024-11-15,2024-11-15T16:12:43Z,55522A34E0,-64
2024,2024-11-15,2024-11-15T16:12:43Z,34522D2D87,-77
2024,2024-11-15,2024-11-15T16:12:43Z,611E2A2D22,-62
2024,2024-11-15,2024-11-15T16:12:43Z,3366551929,-64
2024,2024-11-15,2024-11-15T16:12:43Z,521978190D,-58
2024,2024-11-15,2024-11-15T16:12:44Z,4C336166FA,-70
2024,2024-11-15,2024-11-15T16:12:44Z,4C52336167,-56
2024,2024-11-15,2024-11-15T16:12:46Z,522D1E66B6,-58
2024,2024-11-15,2024-11-15T16:12:48Z,55522A34E0,-60
2024,2024-11-15,2024-11-15T16:12:48Z,34522D2D87,-82
2024,2024-11-15,2024-11-15T16:12:48Z,611E2A2D22,-58
2024,2024-11-15,2024-11-15T16:12:49Z,3366551929,-78
2024,2024-11-15,2024-11-15T16:12:49Z,4C336166FA,-62
2024,2024-11-15,2024-11-15T16:12:50Z,4C52336167,-58
2024,2024-11-15,2024-11-15T16:12:52Z,522D1E66B6,-59
2024,2024-11-15,2024-11-15T16:12:53Z,55522A34E0,-65
2024,2024-11-15,2024-11-15T16:12:53Z,34522D2D87,-69
2024,2024-11-15,2024-11-15T16:12:54Z,611E2A2D22,-52
2024,2024-11-15,2024-11-15T16:12:54Z,3366551929,-70
2024,2024-11-15,2024-11-15T16:12:55Z,4C336166FA,-63
2024,2024-11-15,2024-11-15T16:12:55Z,4C52336167,-52
2024,2024-11-15,2024-11-15T16:12:57Z,522D1E66B6,-59
2024,2024-11-15,2024-11-15T16:12:58Z,55522A34E0,-54
2024,2024-11-15,2024-11-15T16:12:59Z,34522D2D87,-83
2024,2024-11-15,2024-11-15T16:12:59Z,611E2A2D22,-48
2024,2024-11-15,2024-11-15T16:12:59Z,3366551929,-87
2024,2024-11-15,2024-11-15T16:13:00Z,4C336166FA,-57
2024,2024-11-15,2024-11-15T16:13:00Z,4C52336167,-48
2024,2024-11-15,2024-11-15T16:13:02Z,522D1E66B6,-59
2024,2024-11-15,2024-11-15T16:13:04Z,55522A34E0,-53
2024,2024-11-15,2024-11-15T16:13:04Z,34522D2D87,-78
2024,2024-11-15,2024-11-15T16:13:04Z,611E2A2D22,-53
2024,2024-11-15,2024-11-15T16:13:04Z,3366551929,-72
2024,2024-11-15,2024-11-15T16:13:05Z,4C336166FA,-52
2024,2024-11-15,2024-11-15T16:13:05Z,4C52336167,-54
2024,2024-11-15,2024-11-15T16:13:07Z,522D1E66B6,-75
2024,2024-11-15,2024-11-15T16:13:09Z,55522A34E0,-67
2024,2024-11-15,2024-11-15T16:13:09Z,34522D2D87,-73
2024,2024-11-15,2024-11-15T16:13:09Z,611E2A2D22,-61
2024,2024-11-15,2024-11-15T16:13:09Z,3366551929,-71
2024,2024-11-15,2024-11-15T16:13:11Z,4C336166FA,-63
2024,2024-11-15,2024-11-15T16:13:11Z,4C52336167,-45
2024,2024-11-15,2024-11-15T16:13:12Z,522D1E66B6,-70
2024,2024-11-15,2024-11-15T16:13:14Z,55522A34E0,-66
2024,2024-11-15,2024-11-15T16:13:14Z,34522D2D87,-78
2024,2024-11-15,2024-11-15T16:13:14Z,611E2A2D22,-56
2024,2024-11-15,2024-11-15T16:13:16Z,4C336166FA,-60
2024,2024-11-15,2024-11-15T16:13:16Z,4C52336167,-43
2024,2024-11-15,2024-11-15T16:13:18Z,522D1E66B6,-60
2024,2024-11-15,2024-11-15T16:13:19Z,55522A34E0,-66
2024,2024-11-15,2024-11-15T16:13:24Z,55522A34E0,-57
2024,2024-11-15,2024-11-15T16:13:25Z,34522D2D87,-70
2024,2024-11-15,2024-11-15T16:13:25Z,611E2A2D22,-54
2024,2024-11-15,2024-11-15T16:13:25Z,3366551929,-66
2024,2024-11-15,2024-11-15T16:13:27Z,4C336166FA,-59
2024,2024-11-15,2024-11-15T16:13:28Z,522D1E66B6,-55
2024,2024-11-15,2024-11-15T16:13:30Z,55522A34E0,-58
2024,2024-11-15,2024-11-15T16:13:30Z,34522D2D87,-71
2024,2024-11-15,2024-11-15T16:13:30Z,3366551929,-69
2024,2024-11-15,2024-11-15T16:13:32Z,4C52336167,-48
2024,2024-11-15,2024-11-15T16:13:32Z,4C336166FA,-58
2024,2024-11-15,2024-11-15T16:13:33Z,522D1E66B6,-59
2024,2024-11-15,2024-11-15T16:13:35Z,55522A34E0,-57
2024,2024-11-15,2024-11-15T16:13:35Z,34522D2D87,-71
2024,2024-11-15,2024-11-15T16:13:35Z,611E2A2D22,-57
2024,2024-11-15,2024-11-15T16:13:35Z,521978190D,-57
2024,2024-11-15,2024-11-15T16:13:37Z,4C52336167,-43
2024,2024-11-15,2024-11-15T16:13:37Z,4C336166FA,-55
2024,2024-11-15,2024-11-15T16:13:38Z,522D1E66B6,-64
2024,2024-11-15,2024-11-15T16:13:40Z,55522A34E0,-73
